Type,Trans Date,Post Date,Description,Amount
SALE,11/11/2015,11/12/2015,"CHIPOTLE 1762",-9.74
SALE,08/14/2015,08/16/2015,"MAC'S BACKS-BOOKS ON COV",-6.47
SALE,09/10/2015,09/11/2015,"ARSLANIAN BROTHERS CARPET",-85.32
SALE,09/06/2015,09/08/2015,"SUNOCO 0443373603",-18.40
SALE,08/31/2015,09/01/2015,"PETSMART INC 2313",-63.99
SALE,11/11/2015,11/12/2015,"PURA VIDA NATURAL FOODS",-11.70
SALE,10/05/2015,10/06/2015,"MELT BAR & GRILLED  CLEVE",-47.96
SALE,08/08/2015,08/10/2015,"180 DEGREE DESIGNS",-20.64
SALE,08/09/2015,08/10/2015,"SQ *PHOENIX COFFEE COMPAN",-5.20
SALE,10/12/2015,10/13/2015,"CHIPOTLE 0079",-11.89
SALE,09/27/2015,09/29/2015,"SHELL OIL 57424318004",-5.23
SALE,09/17/2015,09/20/2015,"SHELL OIL 57424307908",-1.93
SALE,10/26/2015,10/28/2015,"RESTAURANT DANIELI",-115.23
SALE,09/05/2015,09/07/2015,"SHELL OIL 57441613205",-2.98
SALE,08/13/2015,08/14/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/01/2015,09/03/2015,"THE HOME DEPOT 3818",-51.73
SALE,09/19/2015,09/20/2015,"AmazonPrime Membership",-106.92
SALE,09/21/2015,09/23/2015,"TZARMEDIA.COM",-1.00
SALE,09/25/2015,09/27/2015,"USA*PRIORITY VENDING OH",-1.35
SALE,08/11/2015,08/12/2015,"SQ *PHOENIX COFFEE COMPAN",-10.00
SALE,09/22/2015,09/23/2015,"WHOLEFDS CTR 10199",-54.34
SALE,10/01/2015,10/02/2015,"THE LIMITED - BEAC",-94.44
SALE,10/14/2015,10/15/2015,"MOON FOOD",-27.63
SALE,11/09/2015,11/11/2015,"CLEV HTS - PARKING",-2.00
SALE,10/31/2015,11/02/2015,"STARBUCKS 2501",-7.14
SALE,11/01/2015,11/02/2015,"WH SMITH TRAVEL",-7.72
SALE,10/22/2015,10/23/2015,"CHIPOTLE 1762",-10.39
